selectivity,strategy,parameter,param_value,recall,latency_p50_ms,latency_p95_ms,mean_latency_ms
0.1%,pre_filter,none,none,1.000000,0.013,0.013,0.013
0.1%,post_filter,oversample_factor,5,0.005000,0.498,0.633,0.480
0.1%,post_filter,oversample_factor,10,0.011000,0.792,1.017,0.765
0.1%,post_filter,oversample_factor,20,0.023000,1.284,1.571,1.228
0.1%,post_filter,oversample_factor,50,0.057000,2.342,2.703,2.271
0.1%,predicate_aware,ef,16,1.000000,17.798,18.810,17.969
0.1%,predicate_aware,ef,32,1.000000,18.710,21.140,19.215
0.1%,predicate_aware,ef,64,1.000000,17.812,18.830,17.899
0.1%,predicate_aware,ef,128,1.000000,18.059,20.459,18.316
0.1%,predicate_aware,ef,256,1.000000,18.429,19.202,18.375
0.1%,faiss_post_filter,oversample_factor,5,0.005000,0.093,0.123,0.095
0.1%,faiss_post_filter,oversample_factor,10,0.011000,0.174,0.236,0.175
0.1%,faiss_post_filter,oversample_factor,20,0.024000,0.302,0.348,0.302
0.1%,faiss_post_filter,oversample_factor,50,0.057000,0.734,0.966,0.753
1%,pre_filter,none,none,1.000000,0.025,0.027,0.025
1%,post_filter,oversample_factor,5,0.052000,0.508,0.652,0.494
1%,post_filter,oversample_factor,10,0.111000,0.788,0.980,0.769
1%,post_filter,oversample_factor,20,0.206000,1.271,1.597,1.223
1%,post_filter,oversample_factor,50,0.489000,2.539,3.049,2.536
1%,predicate_aware,ef,16,1.000000,4.798,5.888,4.809
1%,predicate_aware,ef,32,1.000000,7.367,8.730,7.469
1%,predicate_aware,ef,64,1.000000,14.814,16.842,14.846
1%,predicate_aware,ef,128,1.000000,18.107,20.437,18.445
1%,predicate_aware,ef,256,1.000000,18.011,21.881,19.025
1%,faiss_post_filter,oversample_factor,5,0.050000,0.110,0.147,0.111
1%,faiss_post_filter,oversample_factor,10,0.111000,0.175,0.228,0.175
1%,faiss_post_filter,oversample_factor,20,0.206000,0.304,0.407,0.305
1%,faiss_post_filter,oversample_factor,50,0.490000,0.723,0.910,0.748
5%,pre_filter,none,none,1.000000,0.065,0.100,0.071
5%,post_filter,oversample_factor,5,0.242000,0.497,0.647,0.489
5%,post_filter,oversample_factor,10,0.495000,0.790,0.990,0.763
5%,post_filter,oversample_factor,20,0.883000,1.266,1.485,1.203
5%,post_filter,oversample_factor,50,1.000000,2.410,2.741,2.336
5%,predicate_aware,ef,16,1.000000,1.706,2.296,1.717
5%,predicate_aware,ef,32,1.000000,2.471,3.124,2.474
5%,predicate_aware,ef,64,1.000000,4.037,5.279,4.164
5%,predicate_aware,ef,128,1.000000,6.179,7.786,6.354
5%,predicate_aware,ef,256,1.000000,10.804,14.027,11.255
5%,faiss_post_filter,oversample_factor,5,0.242000,0.059,0.074,0.058
5%,faiss_post_filter,oversample_factor,10,0.492000,0.107,0.125,0.107
5%,faiss_post_filter,oversample_factor,20,0.885000,0.227,0.268,0.228
5%,faiss_post_filter,oversample_factor,50,1.000000,0.662,0.777,0.663
10%,pre_filter,none,none,1.000000,0.137,0.150,0.137
10%,post_filter,oversample_factor,5,0.447000,0.448,0.568,0.435
10%,post_filter,oversample_factor,10,0.830000,0.749,0.934,0.716
10%,post_filter,oversample_factor,20,0.997000,1.320,1.636,1.262
10%,post_filter,oversample_factor,50,1.000000,2.450,2.995,2.411
10%,predicate_aware,ef,16,0.998000,1.023,1.331,1.004
10%,predicate_aware,ef,32,0.999000,1.526,1.941,1.507
10%,predicate_aware,ef,64,1.000000,2.466,2.932,2.459
10%,predicate_aware,ef,128,1.000000,4.030,4.524,3.987
10%,predicate_aware,ef,256,1.000000,6.691,7.484,6.768
10%,faiss_post_filter,oversample_factor,5,0.447000,0.112,0.133,0.111
10%,faiss_post_filter,oversample_factor,10,0.830000,0.175,0.234,0.175
10%,faiss_post_filter,oversample_factor,20,0.999000,0.257,0.304,0.260
10%,faiss_post_filter,oversample_factor,50,1.000000,0.648,0.737,0.640
25%,pre_filter,none,none,1.000000,0.325,0.365,0.328
25%,post_filter,oversample_factor,5,0.955000,0.444,0.540,0.424
25%,post_filter,oversample_factor,10,0.999000,0.724,0.882,0.701
25%,post_filter,oversample_factor,20,1.000000,1.345,1.693,1.315
25%,post_filter,oversample_factor,50,1.000000,2.688,3.138,2.641
25%,predicate_aware,ef,16,0.996000,0.691,1.191,0.716
25%,predicate_aware,ef,32,1.000000,0.917,1.240,0.919
25%,predicate_aware,ef,64,1.000000,1.409,1.704,1.370
25%,predicate_aware,ef,128,1.000000,2.185,2.466,2.139
25%,predicate_aware,ef,256,1.000000,3.415,3.823,3.396
25%,faiss_post_filter,oversample_factor,5,0.958000,0.089,0.103,0.088
25%,faiss_post_filter,oversample_factor,10,1.000000,0.139,0.157,0.137
25%,faiss_post_filter,oversample_factor,20,1.000000,0.253,0.306,0.257
25%,faiss_post_filter,oversample_factor,50,1.000000,0.657,0.783,0.664
50%,pre_filter,none,none,1.000000,0.617,0.652,0.619
50%,post_filter,oversample_factor,5,0.996000,0.475,0.629,0.463
50%,post_filter,oversample_factor,10,0.997000,0.750,0.938,0.717
50%,post_filter,oversample_factor,20,0.999000,1.251,1.486,1.190
50%,post_filter,oversample_factor,50,1.000000,2.372,2.677,2.281
50%,predicate_aware,ef,16,0.984000,0.337,0.466,0.338
50%,predicate_aware,ef,32,0.996000,0.569,0.750,0.556
50%,predicate_aware,ef,64,0.999000,0.903,1.219,0.892
50%,predicate_aware,ef,128,1.000000,1.512,1.830,1.432
50%,predicate_aware,ef,256,1.000000,2.368,2.727,2.284
50%,faiss_post_filter,oversample_factor,5,0.995000,0.086,0.099,0.086
50%,faiss_post_filter,oversample_factor,10,1.000000,0.157,0.187,0.155
50%,faiss_post_filter,oversample_factor,20,1.000000,0.255,0.306,0.258
50%,faiss_post_filter,oversample_factor,50,1.000000,0.654,0.760,0.661
